County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Carlow,Bagenalstown Cricket Club,Facilities Improvement,"€24,879",Sports Club,Cricket
Carlow,Ballinkillen Hurling Club,"Security Fencing, Ball-stop, Mower & Dugouts","€56,390",Sports Club,Hurling
Carlow,Bigstone Community Centre,Bigstone Community Centre,"€5,500",Community Group,Multi-sport
Carlow,Burrin Celtic F.C.,7 A-Side All Weather Pitch & Generator,"€88,997",Sports Club,Soccer
Carlow,Carlow Dragon Boat Club,Carlow Dragon Boat Club,"€18,230",Sports Club,Rowing
Carlow,Carlow Golf Club,1. Roof Clubhouse 2.Upgrade Windows and doors,"€164,558",Sports Club,Golf
Carlow,Carlow Karate Club,Protection Gear/Mats,"€8,000",Sports Club,Martial Arts
Carlow,Carlow Kickboxing Club,Sports gear for Carlow Kickboxing Club,"€3,061",Sports Club,Martial Arts
Carlow,Carlow Lawn Tennis Club,Resurface 6 tennis courts.,"€106,590",Sports Club,Tennis
Carlow,Carlow Rowing Club,Growing the Sport of rowing in Carlow,"€55,360",Sports Club,Rowing
Carlow,Carlow Scot's Church,Scot's Community Sport's Hall,"€150,000",Diocesan Trust,Multi-sport
Carlow,Carlow Town Hurling Club,2017 CTHC Refurbishment & Equipment,"€83,500",Sports Club,Hurling
Carlow,Carlow/Graiguecullen Subaqua Club,Refurbishment of SubAqua Club,"€100,000",Sports Club,Diving/Snorkelling
Carlow,Coisde Condae Ceatharloch,Upgrade Dressing Rooms in Netwatch Cullen Park,"€195,543",Sports Stadium,Gaelic Games
Carlow,County Carlow Football Club,New Floodlights for training pitches,"€101,552",Sports Club,Rugby
Carlow,Dolmen Karate,Karate mats,"€3,029",Sports Club,Martial Arts
Carlow,Éire Óg CLG,The fencing of Pitch 1 and Pitch 2.,"€60,843",Sports Club,Gaelic Football
Carlow,Fenagh Sports Grounds Co Ltd by Guarantee,Shower project,"€12,132",Sports Club,Gaelic Football
Carlow,Fighting Cocks GFC,Fighting Cocks GFC Artificial Grass Training Pitch,"€83,942",Sports Club,Gaelic Games
Carlow,Garryhill Handball Club,Garryhill Handball Improvement Project,"€141,758",Sports Centre,Handball
Carlow,Grange Gaelic Football club,Grange GAA Club and Grounds Refurbishment,"€57,067",Sports Club,Gaelic Football
Carlow,Kildavin Clonegal GAA Club,Refurbishisment of Club Sporting Facilities,"€150,000",Sports Club,Gaelic Football
Carlow,Killerig Members Golf Club,Killerig Members Golf Club Machinery Project,"€84,998",Sports Club,Golf
Carlow,Leighlinbridge GFC,Mower and ball stop nets,"€30,000",Sports Club,Gaelic Football
Carlow,Mount Leinster Rangers GAA Club,Phase 2 of All Weather Facility Development,"€60,664",Sports Club,Gaelic Games
Carlow,Muinebheag Juvenile GAA Club,McGrath park redevelopment,"€150,000",Sports Club,Gaelic Games
Carlow,New Oak Boys Football Club,Ball Stop Netting Ride-on Lawnmower FAI size Goals,"€16,012",Sports Club,Soccer
Carlow,Nurney Sporting Grounds Company Ltd,Nurney sporting grounds,"€45,212",Sports Club,Soccer
Carlow,OLD LEIGHLIN GFC,GAA Pitch & Facilities Development & Maintenance,"€51,000",Sports Club,Gaelic Football
Carlow,Setanta GAA Ceatharlach,Defibrillator & Sports Equipment,"€9,417",Sports Club,Hurling
Carlow,Slaney Rovers AFC,"Patrickswell, Sports Complex","€129,000",Community Group,Soccer
Carlow,St Joseph's AFC,New Dressing Rooms & Welfare Facilities,"€24,500",Sports Club,Soccer
Carlow,St Joseph's Boys School,Astro Turf pitch including sprint area,"€72,391",School (primary or second level),Gaelic Football
Carlow,St Laurence O'Toole Athletic Club,Athletic Club Upgrades (Phase 3),"€108,775",Sports Club,Athletics
Carlow,St Leo's College,Hockey Pitch Re-Surfacing Works,"€150,000",School (primary or second level),Hockey
Carlow,St Mullins GAA Club,Walkway,"€14,970",Sports Club,Gaelic Games
Carlow,ST PATRICKS GAA CLUB,Upgrade of Gymnasium and downstairs Main Hall.,"€26,576",Sports Club,Gaelic Games
Carlow,St. Brigid's LGFA,Purchase of training and storage equipment.,"€4,157",Sports Club,Gaelic Football
Carlow,Tinryland GFC,Sports Hall Refurbishment,"€74,440",Sports Club,Gaelic Games
Carlow,Tullow & South Leinster Tennis & Sports Club,Phase 2b (part 2),"€182,084",Sports Centre,Tennis
Carlow,Tullow Kayak Club,NEW EQUIPMENT AND CHANGING FACILITIES,"€62,889",Sports Club,Canoeing / Kayaking
Cavan,3rd Cavan Virginia Scouting Group,Virginia Scouts on Land and Water,"€13,000",Scout Troop,Multi-sport
Cavan,Bailieboro Celtic A.F.C,Pitch drainage & lighting,"€150,000",Sports Club,Soccer
Cavan,Bailieborough Leisure Centre,Bailieborough Leisure Centre refurbishment,"€25,000",Sports Centre,Swimming
Cavan,Bailieborough Shamrocks GAA,"Refurbish sport hall, gym and disability access","€75,135",Sports Club,Gaelic Games
Cavan,Ballyhaise Celtic Soccer Club,Dressing Rooms facilities,"€114,000",Sports Club,Soccer
Cavan,Ballyhaise GAA Club,Ballyhaise GAA Floodlight Upgrade Phase2,"€49,237",Sports Club,Gaelic Games
Cavan,Ballyjamesduff Community Council,Generating a Tennis Focus in Ballyjamesduff(BJD),"€46,620",Community Group,Tennis
