County,Organisation,Project Title,Allocation
Carlow,Bagenalstown Cricket Club,Facilities Improvement,"€7,000"
Carlow,Ballinkillen Hurling Club,"Security Fencing, Ball-stop, Mower & Dugouts","€34,000"
Carlow,Bigstone Community Centre,Bigstone Community Centre,"€3,000"
Carlow,Burrin Celtic F.C.,7 A-Side All Weather Pitch & Generator,"€39,000"
Carlow,Carlow Dragon Boat Club,Carlow Dragon Boat Club,"€11,500"
Carlow,Carlow Golf Club,1. Roof Clubhouse 2.Upgrade Windows and doors,"€58,000"
Carlow,Carlow Kickboxing Club,Sports gear for Carlow Kickboxing Club,"€1,268"
Carlow,Carlow Lawn Tennis Club,Resurface 6 tennis courts.,"€42,500"
Carlow,Carlow Rowing Club,Growing the Sport of rowing in Carlow,"€18,000"
Carlow,Carlow Town Hurling Club,2017 CTHC Refurbishment & Equipment,"€42,500"
Carlow,County Carlow Football Club,New Floodlights for training pitches,"€47,500"
Carlow,Dolmen Karate,Karate mats,"€2,000"
Carlow,Éire Óg CLG,The fencing of Pitch 1 and Pitch 2.,"€35,000"
Carlow,Fighting Cocks GFC,Fighting Cocks GFC Artificial Grass Training Pitch,"€39,500"
Carlow,Garryhill Handball Club,Garryhill Handball Improvement Project,"€3,000"
Carlow,Kildavin Clonegal GAA Club,Refurbishisment of Club Sporting Facilities,"€65,000"
Carlow,Killerig Members Golf Club,Killerig Members Golf Club Machinery Project,"€24,500"
Carlow,Leighlinbridge GFC,Mower and ball stop nets,"€8,500"
Carlow,Mount Leinster Rangers GAA Club,Phase 2 of All Weather Facility Development,"€36,000"
Carlow,New Oak Boys Football Club,Ball Stop Netting Ride-on Lawnmower FAI size Goals,"€9,000"
Carlow,OLD LEIGHLIN GFC,GAA Pitch & Facilities Development & Maintenance,"€22,000"
Carlow,Setanta GAA Ceatharlach,Defibrillator & Sports Equipment,"€3,500"
Carlow,Slaney Rovers AFC,"Patrickswell, Sports Complex","€75,000"
Carlow,St Mullins GAA Club,Walkway,"€7,000"
Carlow,ST PATRICKS GAA CLUB,Upgrade of Gymnasium and downstairs Main Hall.,"€13,500"
Carlow,Tinryland GFC,Sports Hall Refurbishment,"€30,000"
Carlow,Tullow Kayak Club,NEW EQUIPMENT AND CHANGING FACILITIES,"€40,000"
Cavan,3rd Cavan Virginia Scouting Group,Virginia Scouts on Land and Water,"€4,189"
Cavan,Bailieboro Celtic A.F.C,Pitch drainage & lighting,"€40,000"
Cavan,Bailieborough Shamrocks GAA,"Refurbish sport hall, gym and disability access","€28,500"
Cavan,Ballyhaise GAA Club,Ballyhaise GAA Floodlight Upgrade Phase2,"€12,000"
Cavan,Ballyjamesduff Community Council,Generating a Tennis Focus in Ballyjamesduff(BJD),"€13,500"
Cavan,Belturbet GAA Club,Install natural grass surface with walking track,"€67,500"
Cavan,Belturbet Golf Club,"Drainage, Develop tee boxes.Tractor Mower","€5,500"
Cavan,Cavan and Monaghan ETB,Upgrading of Sports Hall Facility-Virginia College,"€5,500"
Cavan,Cavan Archers,Cavan Archers tournament equipment,"€3,500"
Cavan,Cavan County Council,Multi purpose sports equipment,"€4,300"
Cavan,Cavan County Council,Bowling Green Clubhouse,"€3,000"
Cavan,Cavan Triathlon Club,Let's Tri Cavan Equipment,"€2,800"
Cavan,Cootehill Celtic GAA,GAA CLUB (& COMMUNITY) NEW TRAINING FACILITY,"€57,000"
Cavan,Corlough GAA Club,Upgrade pitch surface facilities and training area,"€13,000"
Cavan,Cornafean GFC,Upgrade walking track and install lights,"€8,500"
Cavan,Crosserlough GFC,Redevelopment of main Pitch with Walking Track,"€41,500"
Cavan,Cuchulainns Gaelic Football Club,400m tarmac athletics track & training field.,"€55,000"
Cavan,"Cuman Gael an Chabhain (Cavan Gaels
GAA Club)",Walking / Running track Terry Coyle Park,"€12,000"
Cavan,Denn GFC,Denn GFC Dressing Rooms and Gym,"€22,000"
Cavan,Droim Dhuin Eire Og GAA,Drumgoon GAABoyle Park Sports Hall Completion,"€9,000"
Cavan,Drung GFC,"New Dressing Rooms, Shower & Toilet Facilities","€55,000"
Cavan,Kill Shamrock's GAA,Develop New Playing Pitch,"€29,000"
Cavan,Killinkere GFC,Additional changing room application,"€41,000"
Cavan,Knockbride G F C,Main Pitch Upgrade,"€30,000"
Cavan,Laragh Sports Partnership,Natural playing surface pitch development.,"€59,000"
Cavan,Lavey GAA Club,Refurbishments & track construction at Lavey GAA,"€18,000"
Cavan,Loch Gowna G.A.A. Club,Upgrading of Playing Pitch,"€21,000"
Cavan,Mullahoran GFC,Redevelopment of Main Playing Pitch Surface,"€36,000"
Cavan,MUNTERCONNAUGHT GAA CLUB,Enhancements to existing Club Facilities,"€1,300"
Cavan,"Ramor United GFc & Ramor Community
Sports Park",Upgrade of - Lights;Playing Surface & Drainage;Gym,"€33,500"
Cavan,Redhills GAC,Redevelopment of main playing pitch,"€35,000"
Cavan,Saint Mary's Gaa,St Marys GFC Swanlinbar,"€40,500"
Cavan,Shercock Gaelic Football Club,Shercock Gfc Dressing Rooms & Gym development,"€41,000"
Cavan,Smugglers Cycling Club,Static Cycling Equipment,€500
Cavan,St. Clare's College,Sports Field Development,"€38,500"
Cavan,Templeport Saint Aidans GAA Club,Upgrade of Club rooms for the wider community,"€30,000"
Cavan,UCL Harps FC,"pitch extension, walking track development","€11,000"
Cavan,Virginia Rugby Club,Virginia RFC - New Changing Rooms & Training Area,"€27,500"
