Organisation,ALLOCATION,County,Project Title
Athlone Regional Sports Centre,"€94,500",Westmeath,Resurfacing of Astro Turf Pitch at Athlone RSC
Canoeing Ireland,"€13,500",Dublin,Irish Canoe develop programme
Canoeing Ireland,"€21,500",Dublin,Canoe Polo Ireland Development
Canoeing Ireland,"€4,000",Dublin,Wild Water Racing Development
Cashel handball club,"€86,500",Tipperary,Phase 2 - Handball Facility Masterplan
Clare Camogie,"€64,500",Clare,Main Pitch upgrade/drainage & ancilliary equipment
Clare County Council,"€82,000",Clare,Active Kilrush Sports Complex Development
Clare County Council,"€98,500",Clare,Active Ennis Tim Smythe Park Development
Claremorris GAA,"€79,500",Mayo,60x30 Handball Court
Connacht Council GAA,"€98,500",Mayo,Connacht GAA Indoor Arena
Cork Camogie Board,"€71,000",Cork,Outfitting dressing rooms and toilets
Cork County Boxing Board,"€19,000",Cork,New Cork Regional Boxing Centre of Excellence
Cork Institute of Technology,"€50,500",Cork,Upgrade Floodlights and Installation of Lift
"Cork Rugby Stadium Company
Limited","€72,500",Cork,Installation of an artificial pitch
Cricket Ireland,"€60,500",Dublin,Cricket Ireland High Performance Centre
Cumann Luthchleas Gael Cill Dara,"€94,500",Kildare,"Refurbishment Saint Conleths Park, Newbridge"
Dressage Ireland Ltd,"€11,000",Kildare,To Grow Dressage Ireland
Dublin City Council,"€89,000",Dublin,Belcamp Park - Resurfacing of Astro Pitch
Dublin City Council,"€79,500",Dublin,DCC / Tennis Ireland National Training Centre
Dublin City Council,"€65,000",Dublin,Dalymount Park Redevelopment
Dublin Institute of Technology,"€105,000",Dublin,DIT Broombridge Indoor Pitch Development
Dun Laoghaire-Rathdown CoCo,"€63,000",Dublin,Samuel Beckett Campus
Eventing Ireland,"€18,000",Kildare,Purchase of Ground Improvement Equipment
FENCING IRELAND,"€11,000",Dublin,Fencing Ireland - Competition & Training Equipment
Galway City Council,"€57,000",Galway,Cappagh Small All Weather Sports Court
Galway Co Board GAA,"€111,500",Galway,Tuam Stadium dressing rooms
Golden Falls Water Ski Club,"€30,500",Kildare,Regional Water Ski Facility
"Grangegorman Development
Agency","€111,500",Dublin,"Grangegorman Campus Fencing, Netting & Warmup Area"
Irish Amateur Boxing Association,"€51,000",Dublin,Ionad Spoirt Forbairt na nóg
Irish Amateur Boxing Association,"€64,500",Dublin,National Boxing Stadium
Irish Amateur Boxing Association,"€32,500",Dublin,Ring side Training and Education Centre
Irish Amateur Boxing Association,"€3,500",Dublin,National startbox program
"Irish Amateur Wrestling
Association","€6,500",Dublin,equipment for training youth and children program
"Irish Clay Pigeon Shooting
Association","€28,500",Offaly,Upgrade of National Shooting Ground
Irish Girl Guides,"€2,500",Dublin,Geocaching for Girl Guides and Camping Equipment
Irish Martial Arts Commission,"€4,000",Dublin,Kickboxing - Wako Scoring System
Irish Martial Arts Commission,"€15,000",Dublin,Club Equipment Scheme
